Unnamed: 0,reviews,ratings,days,options,buyer_categorys,유통기한,포장,맛 만족도,Okt_tokens,KNU_Score,KNU_label
123,항상 맛있게잘먹고있는 유리네입니다. 다른데서도 궁채장아찌 사먹어봤는데 비교할수없는맛입니다,5,2024.02.13.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['항상', '맛있게잘', '먹고있는', '유리', '네', '입니다', '.', '다른데서도', '궁채', '장아찌', '사먹어', '봤는데', '비교', '할수', '없는', '맛', '입니다']",0,중립
124,"장아찌로 그냥먹어도 맛나구요.
살짝양념해서 김밥에 넣어도 식감좋고 
맛있어요~
자주 애용하는 집입니다~^^",5,2024.02.12.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['장아찌', '로', '그냥', '먹어도', '맛', '나구요', '.', '\n', '살짝', '양념', '해서', '김밥', '에', '넣어도', '식감', '좋고', '맛있어요', '~', '\n', '자주', '애용', '하는', '집', '입니다', '~^^']",2,긍정
125,잘 먹고 있습니다. 입맛을 돋우는 아삭한 맛이 일품이예요ㆍ맛있게 먹고 재주문하겠습니다.,5,2024.02.11.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['잘', '먹고', '있습니다', '.', '입맛', '을', '돋우는', '아', '삭', '한', '맛', '이', '일품', '이', '예요', 'ㆍ', '맛있게', '먹고', '재주', '문하겠습니다', '.']",4,긍정
126,주문하고 하루만에 배송되어서 설연휴때 가족들과 맛있게 먹을 수 있어서  좋네요,5,2024.02.11.,유통기한아주 넉넉해요포장적당해요맛 만족도맛있어요,,아주 넉넉해요,적당해요,맛있어요,"['주문', '하고', '하루', '만에', '배송', '되어서', '설연휴', '때', '가족', '들', '과', '맛있게', '먹을', '수', '있어서', '좋네요']",2,긍정
127,궁체의 꼬들감이 너무 좋아요,4,2024.02.10.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['궁체', '의', '꼬들감', '이', '너무', '좋아요']",0,중립
128,만족합니다 ~~~~,4,2024.02.10.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['만족합니다', '~~~~']",0,중립
129,짜지않고 아삭아삭 좋아요,5,2024.02.09.,구매자거주인원 4인취학자녀 가정유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,아주 넉넉해요,꼼꼼해요,맛있어요,"['짜지', '않고', '아삭아삭', '좋아요']",0,중립
130,새콤해서 입맛이 돌아요.,5,2024.02.09.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['새', '콤', '해서', '입맛', '이', '돌아요', '.']",0,중립
131,포장상태엉망 귀찮아서 그냥먹습니다,2,2024.02.09.,맛 만족도평범해요유통기한꽤 남았어요포장별로예요,,평범해요,꽤 남았어요,별로예요,"['포장', '상태', '엉망', '귀찮아서', '그냥', '먹습니다']",0,중립
132,마싯어요머싯어요머깃어요머것어요,5,2024.02.08.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['마싯어요', '머싯', '어', '요', '머깃', '어', '요', '머것', '어', '요']",0,중립
133,어머니께서 많이 좋아하십니다,5,2024.02.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['어머니', '께서', '많이', '좋아하십니다']",0,중립
134,"맛있어요
먹어본것중에 제일맛나요
너무달지않아좋은듯~~",4,2024.02.07.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어요', '\n', '먹어', '본', '것', '중', '에', '제', '일', '맛', '나', '요', '\n', '너무', '달', '지', '않아', '좋은', '듯', '~~']",2,긍정
135,재구매해서 먹어요 맛있어요,5,2024.02.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['재구매', '해서', '먹어요', '맛있어요']",0,중립
136,맛은  예전에  시켜보고 넘  만족했습니다.  이번  설에   차례음식먹고  느끼할때  새콤달콤오도독  입가심 반찬으로  먹으려고  시켰습니다.시댁어른들도  드시라고  두팩씩  시켰어요.어른들 드리기에  부끄럽지 않게 포장도 꼼꼼하고  유통기한 표기까지   좋으네요. 많이  파시구요  건강하세요^^,5,2024.02.06.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요,"['맛', '은', '예전', '에', '시켜', '보고', '넘', '만족했습니다', '.', '이번', '설', '에', '차례', '음식', '먹고', '느끼할', '때', '새', '콤달콤', '오도독', '입가심', '반찬', '으로', '먹으려고', '시켰습니다', '.', '시댁', '어른', '들', '도', '드시라고', '두', '팩', '씩', '시켰어요', '.', '어른', '들', '드리기에', '부끄럽지', '않게', '포장', '도', '꼼꼼하고', '유통', '기한', '표기', '까지', '좋으네요', '.', '많이', '파시구요', '건강하세요', '^^']",2,긍정
137,맛있은 괜찮아요 포장은 엉망이네요,4,2024.02.06.,유통기한꽤 남았어요포장별로예요맛 만족도맛있어요,,꽤 남았어요,별로예요,맛있어요,"['맛있은', '괜찮아요', '포장', '은', '엉망', '이네', '요']",0,중립
138,"너무 맛있네요 2번째 주문이였습니다.
감사합니다.",5,2024.02.06.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있네요', '2', '번째', '주문', '이', '였습니다', '.', '\n', '감사합니다', '.']",0,중립
139,너무 좋아하는 음식인데 인터넷에서 판매하는줄 몰랐어요 오자마자 개봉해서 허겁지겁 반정도 먹은거 같아요 식감도 맛도 최고였어요,5,2024.02.06.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '좋아하는', '음식', '인데', '인터넷', '에서', '판매', '하는줄', '몰랐어요', '오', '자마자', '개봉', '해서', '허겁지겁', '반정', '도', '먹은거', '같아요', '식', '감도', '맛', '도', '최고', '였어요']",4,긍정
140,추천합니다 맛있어요 여러번 구매했어요,5,2024.02.05.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['추천', '합니다', '맛있어요', '여러', '번', '구매', '했어요']",0,중립
141,가끔 주문해먹는 제품이에요 장아찌중에 제일 맛있어요 입안이 깔끔해져요,5,2024.02.05.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['가끔', '주문', '해', '먹는', '제품', '이에요', '장아찌', '중', '에', '제일', '맛있어요', '입안', '이', '깔끔해져요']",-2,부정
142,"초석잠은 자주 접했는데,
초석잠 구매하면서 보니 궁채맛집이라고 해서
궁채가 뭔지도 모르고 시켰는데, 식감이 너무 좋고
맛도 좋아요. 저는 싱겁게 먹는 편이라
30분정도 물에 담궜다 먹으니 딱이네요 추천해요 ",5,2024.02.05.,구매자거주인원 1인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 1인싱글,아주 넉넉해요,꼼꼼해요,맛있어요,"['초석', '잠', '은', '자주', '접', '했는데', ',', '\n', '초석', '잠', '구매', '하면서', '보니', '궁채', '맛집', '이라고', '해서', '\n', '궁채', '가', '뭔', '지도', '모르고', '시켰는데', ',', '식감', '이', '너무', '좋고', '\n', '맛', '도', '좋아요', '.', '저', '는', '싱겁게', '먹는', '편이', '라', '\n', '30분', '정도', '물', '에', '담궜다', '먹으니', '딱이네요', '추천', '해요']",3,긍정
143,아삭해서 구매했습니다 맛있는데 새콤달콤함이 좀 제입맛에는 강한거같아요,4,2024.02.04.,구매자거주인원 4인신혼/부부유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인신혼/부부,꽤 남았어요,꼼꼼해요,맛있어요,"['아', '삭', '해서', '구매', '했습니다', '맛있는데', '새', '콤', '달콤함이', '좀', '제', '입맛', '에는', '강한거', '같아요']",0,중립
144,"한식집이나 일식집에서 가끔 나올때마다 맛있어서 언젠가 만들어먹어야지 생각만했었는데 만들려고하니 또 귀차니즘이... 맛있다는 후기가 많아서 3통 주문해서 한동안 김치처럼 두고두고 먹을생각하고 한통반은 장아찌로 나머지 한통반은 오이지무침처럼 간장 꼭 짜서 무쳤는데 오독오독 너무 맛있어요ㅜ-ㅜ
생각보다 맛있어서 부모님 집에도 반씩 덜어서 보내드렸더니 움 열흘 정도면 다먹을것같아서
또 추가주문 예정입니다^-^
무침하느라 남은 간장은 만능간장처럼 병에담아서 요리할때 사용하려구요 궁채장아찌♡-♡",5,2024.02.04.,구매자거주인원 1인싱글유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 1인싱글,아주 넉넉해요,꼼꼼해요,맛있어요,"['한식', '집', '이나', '일식집', '에서', '가끔', '나올', '때', '마다', '맛있어서', '언젠가', '만들어', '먹어야지', '생각', '만', '했었는데', '만들려고하니', '또', '귀차니즘', '이', '...', '맛있다는', '후기', '가', '많아서', '3', '통', '주문', '해서', '한동안', '김치', '처럼', '두고두고', '먹을', '생각', '하고', '한', '통반', '은', '장아찌', '로', '나머지', '한', '통반', '은', '오이지', '무침처럼', '간장', '꼭', '짜서', '무쳤는데', '오독오독', '너무', '맛있어요', 'ㅜ', '-', 'ㅜ', '\n', '생각', '보다', '맛있어서', '부모님', '집', '에도', '반', '씩', '덜어서', '보내', '드렸더니', '움', '열흘', '정도', '면', '다', '먹을것', '같아서', '\n', '또', '추가', '주문', '예정', '입니다', '^-^', '\n', '무침하느라', '남은', '간장', '은', '만능', '간장', '처럼', '병', '에', '담아서', '요리', '할', '때', '사용', '하려구요', '궁채', '장아찌', '♡', '-', '♡']",-5,부정
145,언제 먹어도 맛있지만 고기랑 먹을 때 제일 상큼하게 맛있어요.,5,2024.02.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['언제', '먹어도', '맛있지만', '고기랑', '먹을', '때', '제일', '상큼', '하게', '맛있어요', '.']",0,중립
146,"오독오독 아삭아삭 식감이 재밌어요
맛 또한 짜지않고 맛있습니다",5,2024.02.03.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['오독오독', '아삭아삭', '식감', '이', '재밌어요', '\n', '맛', '또한', '짜지', '않고', '맛있습니다']",0,중립
147,어느새 다먹고 다시 주문했어요 배송도 빠르고 오자마자 고기와 먹었구요 아삭하니 좋네요 고기와 궁합이 맞네요 다먹으면 다시 주문들어갑니다,5,2024.02.03.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['어느새', '다', '먹고', '다시', '주문', '했어요', '배송', '도', '빠르고', '오', '자마자', '고기', '와', '먹었구요', '아', '삭', '하', '니', '좋네요', '고기', '와', '궁합', '이', '맞네요', '다', '먹으면', '다시', '주문', '들어갑니다']",0,중립
148,조으네요조으네요조으,5,2024.02.03.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['조으네요', '조으네요', '조으']",0,중립
149,괜찮아요 식감이 좋아요,4,2024.02.02.,맛 만족도평범해요유통기한아주 넉넉해요포장꼼꼼해요,,평범해요,아주 넉넉해요,꼼꼼해요,"['괜찮아요', '식감', '이', '좋아요']",0,중립
150,맛이 상큼하고 신선합니다.,5,2024.02.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛', '이', '상큼', '하고', '신선합니다', '.']",0,중립
151,배송도빠르고 새콤달콤 맛있어요,5,2024.02.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['배송', '도', '빠르고', '새', '콤달콤', '맛있어요']",0,중립
152,안전도착! 아주맛있어용^^재 주문입니당,5,2024.02.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['안전', '도착', '!', '아주', '맛있어용', '^^', '재', '주문', '입니당']",3,긍정
153,"명이, 무, 궁채시켰었는데 궁채가 젤 맛있고 식감도 좋아요~!",5,2024.02.02.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['명', '이', ',', '무', ',', '궁채', '시켰었는데', '궁채', '가', '젤', '맛있고', '식', '감도', '좋아요', '~!']",0,중립
154,아삭아삭  사각사각 맛있습니다,5,2024.02.02.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아삭아삭', '사각사각', '맛있습니다']",0,중립
155,맛있게 잘 먹었습니다.,4,2024.02.01.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['맛있게', '잘', '먹었습니다', '.']",3,긍정
156,배송 빠르고 좋아요,5,2024.01.31.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['배송', '빠르고', '좋아요']",0,중립
157,장아찌류 좋아해서 시켜 봤어요 신선한 느낌이예요,4,2024.01.31.,맛 만족도평범해요유통기한꽤 남았어요포장적당해요,,평범해요,꽤 남았어요,적당해요,"['장아찌', '류', '좋아해서', '시켜', '봤어요', '신선한', '느낌', '이', '예요']",0,중립
158,간이 세지 않고 맛있어요,5,2024.01.31.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['간이', '세지', '않고', '맛있어요']",0,중립
159,아직 먹기 전이에요. 꼼꼼한 포장 마음에 들어요.,5,2024.01.30.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아직', '먹기', '전이', '에요', '.', '꼼꼼한', '포장', '마음', '에', '들어요', '.']",2,긍정
160,"고깃집서 먹어보고 맛있어서 검색해서 샀어요!!
부모님도 맛나다고 고기랑 맛나게 드셨답니다!!",5,2024.01.30.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['고깃집', '서', '먹어', '보고', '맛있어서', '검색', '해서', '샀어요', '!!', '\n', '부모님', '도', '맛', '나다고', '고기랑', '맛', '나게', '드셨답니다', '!!']",0,중립
161,중국산이어서  별하나는  뺏어요  아삭아삭하니  식감이 좋아요  개인적으로는  식초맛이 쪼금만 덜햇어도  괜찮을것 같다는~  담근물이  남으면 버리기 아까우니다른  장아찌 만들어  넣어놔도  좋겟쥬.,4,2024.01.30.,구매자거주인원 4인대가족유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,꽤 남았어요,꼼꼼해요,맛있어요,"['중국산', '이어서', '별하나', '는', '뺏어요', '아삭아삭', '하니', '식감', '이', '좋아요', '개인', '적', '으로는', '식초', '맛', '이', '쪼금', '만', '덜햇', '어', '도', '괜찮을것', '같다는', '~', '담근', '물이', '남으면', '버리기', '아까우니', '다른', '장아찌', '만들어', '넣어', '놔도', '좋겟쥬', '.']",0,중립
162,장아찌는첨구매해보내요 1kg 2병샀어요  친정엄마랑 한통씩  먹어보구 더구매할려고요  짜지않고맛있네요,5,2024.01.30.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['장아찌', '는', '첨', '구매', '해보내요', '1', 'kg', '2', '병', '샀어요', '친정엄마', '랑', '한', '통', '씩', '먹어', '보구', '더', '구매', '할려고요', '짜지', '않고', '맛있네요']",-2,부정
163,빠른 배송 감사합니다~,5,2024.01.30.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['빠른', '배송', '감사합니다', '~']",0,중립
164,"아삭아삭 심감이 좋아요
감칠맛도 나서 잘 먹었어요",5,2024.01.29.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['아삭아삭', '심감', '이', '좋아요', '\n', '감칠맛', '도', '나서', '잘', '먹었어요']",1,긍정
165,아삭아삭새콤달콤넘맛이좋아계속땡기는맛,5,2024.01.29.,구매자거주인원 3인대가족맛 만족도맛 없어요유통기한임박상품이에요포장별로예요,구매자거주인원 3인대가족,맛 없어요,임박상품이에요,별로예요,"['아삭아삭', '새', '콤달콤', '넘', '맛', '이', '좋아', '계속', '땡기는', '맛']",2,긍정
166,김밥이나 주먹밥에 활용도가 좋네요,4,2024.01.28.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['김밥', '이나', '주먹밥', '에', '활', '용도', '가', '좋네요']",0,중립
167,"맛있어서 벌써 반틈 넘게 먹었어요 
궁채 식감이 너무 좋아요",5,2024.01.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛있어서', '벌써', '반', '틈', '넘게', '먹었어요', '궁채', '식감', '이', '너무', '좋아요']",0,중립
168,처음 주문 했는데 진짜 맛났어요 ! 아삭아삭 식감이 너무 좋아요 또 주문할게요 :),5,2024.01.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['처음', '주문', '했는데', '진짜', '맛', '났어요', '!', '아삭아삭', '식감', '이', '너무', '좋아요', '또', '주문', '할게요', ':)']",-1,부정
169,늘 사 먹고 있어요 느끼한 음식상에 좋아요,4,2024.01.28.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['늘', '사', '먹고', '있어요', '느끼한', '음식', '상', '에', '좋아요']",0,중립
170,여기 너므맛있어요 게속 재규매,5,2024.01.28.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['여기', '너', '므', '맛있어요', '게속', '재규매']",0,중립
171,"저번에 먹어보고 순삭해서 다시시켰습니다!!
빠르고 안전한 배송 노무좋아요 ",5,2024.01.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['저번', '에', '먹어', '보고', '순삭', '해서', '다시', '시켰습니다', '!!', '\n', '빠르고', '안전한', '배송', '노무', '좋아요']",2,긍정
172,아삭아삭 맛나네용 ㅎㅎ,5,2024.01.27.,구매자거주인원 3인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인,아주 넉넉해요,꼼꼼해요,맛있어요,"['아삭아삭', '맛', '나네용', 'ㅎㅎ']",1,긍정
173,짜지 않고 맛있습니다,5,2024.01.27.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['짜지', '않고', '맛있습니다']",0,중립
174,오돌오돌씹이는 맛도있고 넘맛있네,5,2024.01.27.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['오돌오돌', '씹이는', '맛', '도', '있고', '넘', '맛있네']",0,중립
175,김밥에 넣어 먹어도 맛있네요.,5,2024.01.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['김밥', '에', '넣어', '먹어도', '맛있네요', '.']",0,중립
176,궁채 두개는 우리집 하나는 친정에 보냈어요. 재구매 의사 있습니다. 맛있어요.,5,2024.01.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['궁채', '두', '개', '는', '우리', '집', '하나', '는', '친정', '에', '보냈어요', '.', '재구매', '의사', '있습니다', '.', '맛있어요', '.']",0,중립
177,아삭하고 맛있어요 ~ 간장맛이 마니 나긴하네요 ~  그래도 맛있어요,5,2024.01.26.,구매자거주인원 4인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요,"['아', '삭', '하고', '맛있어요', '~', '간장', '맛', '이', '마니', '나긴하네요', '~', '그래도', '맛있어요']",0,중립
178,진짜 맛있어요. 식감도 오독오독하니 좋습니다,5,2024.01.26.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['진짜', '맛있어요', '.', '식', '감도', '오독오독', '하니', '좋습니다']",0,중립
179,"궁채장아찌는 먹어본 사람만 그 미친식감을 알거에요-♡
지인 통해서 한번 먹어보곤 그맛이 그리웟는데 웬지 시골시장은 먹거리 재료가 믿을만하잖아요ㅎ
후기도 괜찮고해서 주문해봣는데,,
넘나 만족스럽네요!!
주문과 동시에 만들어서 밀폐포장까지 완벽해요:)
식감 넘나좋고 무엇보다 장아찌가 짜지않아서 굿굿!!
근데 저는 매운맛을 좋아해서 살짝 매운고추가 가미된 맛이면 정말 좋앗겟다 하는 아쉬움이 있더라구요^^;
재구매 의사 완전 있어욧",5,2024.01.25.,구매자거주인원 3인취학자녀 가정유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,꽤 남았어요,꼼꼼해요,맛있어요,"['궁채', '장아찌', '는', '먹어', '본', '사람', '만', '그', '미친', '식감', '을', '알거에요', '-', '♡', '\n', '지인', '통해', '서', '한번', '먹어', '보곤', '그', '맛', '이', '그리', '웟', '는데', '웬', '지', '시골', '시장', '은', '먹거리', '재료', '가', '믿을만', '하잖아요', 'ㅎ', '\n', '후기', '도', '괜찮', '고해', '서', '주문', '해', '봣', '는데', ',,', '\n', '넘나', '만족스럽네요', '!!', '\n', '주문', '과', '동시', '에', '만들어서', '밀폐', '포장', '까지', '완벽해요', ':)', '\n', '식감', '넘나', '좋고', '무엇', '보다', '장아찌', '가', '짜지', '않아서', '굿굿', '!!', '\n', '근데', '저', '는', '매운', '맛', '을', '좋아해서', '살짝', '매운', '고추가', '가미', '된', '맛', '이', '면', '정말', '좋앗겟다', '하는', '아쉬움', '이', '있더라구요', '^^;', '\n', '재구매', '의사', '완전', '있어', '욧']",-4,부정
180,"이미 다먹은지
오렌지
너무맛있어서
금방먹었어요",5,2024.01.25.,구매자거주인원 4인대가족유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 4인대가족,아주 넉넉해요,꼼꼼해요,맛있어요,"['이미', '다', '먹은지', '\n', '오렌지', '\n', '너무', '맛있어서', '\n', '금방', '먹었어요']",0,중립
181,직접가서 먹어보고 샀어요 여러번 재구매 하고 있어요 추천합니다.,4,2024.01.25.,유통기한꽤 남았어요포장꼼꼼해요맛 만족도맛있어요,,꽤 남았어요,꼼꼼해요,맛있어요,"['직접', '가서', '먹어', '보고', '샀어요', '여러', '번', '재구매', '하고', '있어요', '추천', '합니다', '.']",0,중립
182,맛도 있고 어르신 선물로 좋아요,5,2024.01.25.,구매자거주인원 2인신혼/부부유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 2인신혼/부부,아주 넉넉해요,꼼꼼해요,맛있어요,"['맛', '도', '있고', '어르신', '선물', '로', '좋아요']",0,중립
183,오자마자 저녁 반찬으로 맛있게 먹었습니다. 보관하기에 양도 적당한 것 같습니다.,5,2024.01.24.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['오', '자마자', '저녁', '반찬', '으로', '맛있게', '먹었습니다', '.', '보관', '하기에', '양도', '적당한', '것', '같습니다', '.']",3,긍정
184,무료배송할려고 3통 주문했어요~ 아삭하니 너무 맛있어요! 저는 매운걸 좋아해서 청양고추좀 썰어넣어보려구요 ㅎㅎ,5,2024.01.24.,구매자거주인원 2인대가족유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,구매자거주인원 2인대가족,꽤 남았어요,적당해요,맛있어요,"['무료', '배송', '할려고', '3', '통', '주문', '했어요', '~', '아', '삭', '하', '니', '너무', '맛있어요', '!', '저', '는', '매운', '걸', '좋아해서', '청양고추', '좀', '썰어', '넣어', '보려구요', 'ㅎㅎ']",1,긍정
185,전에 한번 시켰는데 너무 맛있게 잘 먹어서 이번에 재주문하면서 동생네 것도 하나 주문했어요. 집에 놀러왔을 때 동생도 너무 잘 먹더라구요. 양도 푸짐한데 맛있으면 또 주문하는 게 덩연한 이치죠.,5,2024.01.24.,구매자거주인원 3인취학자녀 가정유통기한아주 넉넉해요포장별로예요맛 만족도맛있어요,구매자거주인원 3인취학자녀 가정,아주 넉넉해요,별로예요,맛있어요,"['전', '에', '한번', '시켰는데', '너무', '맛있게', '잘', '먹어서', '이번', '에', '재주', '문하면서', '동생', '네', '것', '도', '하나', '주문', '했어요', '.', '집', '에', '놀러', '왔을', '때', '동생', '도', '너무', '잘', '먹더라구요', '.', '양도', '푸', '짐한데', '맛있으면', '또', '주문', '하는', '게', '덩', '연한', '이치', '죠', '.']",5,긍정
186,짜지도 않고 그리 달지도 않아서 좋아요 맛있게 잘먹고 있습니다. 다음에 또 주문할게요.,5,2024.01.24.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['짜지도', '않고', '그리', '달지도', '않아서', '좋아요', '맛있게', '잘', '먹고', '있습니다', '.', '다음', '에', '또', '주문', '할게요', '.']",3,긍정
187,최고예요 별 다섯개 !,5,2024.01.24.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['최고', '예요', '별', '다섯', '개', '!']",2,긍정
188,식감좋아요! 근데 너무너무너무 많이 달아요.. 간장절임이 아니라 설탕절임같아요.. 간은 딱맞습니다.,5,2024.01.23.,유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,,아주 넉넉해요,꼼꼼해요,맛있어요,"['식감', '좋아요', '!', '근데', '너무', '너무', '너무', '많이', '달아요', '..', '간장', '절임', '이', '아니라', '설탕절임', '같아요', '..', '간', '은', '딱', '맞습니다', '.']",0,중립
189,너무맛있어서선물도하고잘먹고있어요,5,2024.01.23.,구매자거주인원 1인유통기한아주 넉넉해요포장꼼꼼해요맛 만족도맛있어요,구매자거주인원 1인,아주 넉넉해요,꼼꼼해요,맛있어요,"['너무', '맛있어서', '선물', '도', '하고잘', '먹고있어요']",0,중립
190,오독해서 맛있어요 배송도 빠르고,5,2024.01.23.,유통기한꽤 남았어요포장적당해요맛 만족도맛있어요,,꽤 남았어요,적당해요,맛있어요,"['오', '독해', '서', '맛있어요', '배송', '도', '빠르고']",0,중립
